Sno, songs,singer,lyrics,emotion
436,Mungda, Usha Mangeshkar,,
437,Tum Par Hum Hai Atke,"Neha Kakkar, Mika Singh",,
438,TERE NAAL NACHNA,Badshah,,
439,Vilayati Sharaab, Darshan Raval & Neeti Mohan,,
440,Pallo Latke,Jyotica Tangri,,
441,Mera Naam Mary, Chinmayi Sripaada  ,,
442,Jadoo Ki Jhappi,"Mika Singh, Neha Kakkar",,
443,Aa Jaana,"Darshan Raval, Prakriti",,
444,Ishqyaun Dhishqyaun, Siddharth-Garima,,
445,Tere Pyaar Mein," Arijit, Nikhita",,
446,Nayan, Dhvani B Jubin N,,
447,Sheher Ki Ladki,"Badshah, Tulsi Kumar, Diana Penty",,
448,Ram Siya Ram,Sachet-Parampara,,
449,Tujhe Bhi Chand,Shreya Ghoshal,,
450,Show Me The Thumka, Sunidhi Chauhan & Shashwat Singh ,,
451,Tune Maari Entriyaan," KK, Neeti Mohan",,
452,Muqabla," Yash Narvekar, Parampara Thakur",,
453,Gone Girl,Badshah,,
454,Hatt Ja Tau,Sunidhi Chauhan,,
455,Ek Baar Dekh Lijiye, Kalpana Gandharva,,
456,Do Ghoont, Shruti Rane,,
457,Chamak Challo Chel Chabeli,Shreya G.,,
458,Daaru Peeke Dance,Neha Kakar,,
459,Punjabi Wedding, Sunidhi Chauhan & Benny Dayal,,
460,Jabra Fan, Nakash Aziz,,
461,Ghungroo,"Arijit Singh, Shilpa",,
462,Ghar More Pardesiya,Shreya & Vaishali,,
463,Dard Karaara," Kumar Sanu, Sadhana Sargam",,
464,Raghupati Raghav," Neeraj Shridhar, Monali Thakur",,
465,GF BF, Gurinder Seagal,,
466,Ram Chahe Leela, Siddharth-Garima,,
467,Sher Khul Gaye," Benny Dayal,  Shilpa Rao",,
468, Slow Motion, Nakash Aziz and Shreya Ghoshal.,,
469,Chunnari Chunnari, Abhijeet & Anuradha Sriram,,
470,Yaad Piya Ki Aane Lagi,  Divya Khosla Kumar,,
471,PREM LEELA," AMAN TRIKHA, VINEET SINGH",,
472,Zilla Hilela, Pravesh Mallick & Monali Thakur,,
473,Saturday Saturday," Badshah, Akriti K",,
474,The Jawaani,Vishal & Shekhar,,
475,Dheeme Dheeme,"Tony K, Neha K",,
476,Koi Sehri Babu, Shruti Rane,,
477,Panchhi Boley, M.M. Kreem & Palak Muchhal,,
478,Dil Mein Baji Guitar,"  Mika, Amit Kumar",,
479,Radha Nachegi, Shabab Sabri & Danish Sabri,,
480, Chandigarh Mein," Badshah, Harrdy Sandhu",,
481,Dil Vich Lagya Ve, Sonu Nigam,,
482,Khadke Glassy,"Yo Yo Honey Singh, Ashok M, Jyotica T",,
483,Lungi Dance,Honey Singh,,
484,Laal Ghaghra,"Manj M,Herbie S, Neha K",,
485,Cutiepie, Pardeep Singh Sran & Nakash Aziz,,
486,Dilbaro, Vibha Saraf & Shankar Mahadevan,,
487,Hawa Hawa, Mika Singh And Prakriti Kakar,,
488,Ding Dang,Amit Mishra & Antara Mitra,,
489,Deewangi Deewangi," Shaan, Udit Narayan, Shreya Ghosal, Sunidhi Chauhan, Rahul Saxena",,
490,Tu Laung Main Elaachi, Tulsi Kumar ,,
491,Chalti Hai Kya 9 Se 12, Dev Negi & Neha Kakkar,,
492,De Taali," Yo Yo Honey Singh, Armaan Malik & Shashwat Singh",,
493,Dil Mera Blast, Darshan Raval,,
494,Bole Chudiyan," Sonu Nigam, Alka Yagnik, Udit Narayan",,
495,Rajvaadi Odhni,Jonita Gandhi,,
496,Mumbai Dilli Di Kudiyaan," Dev Negi, Payal Dev & Vishal Dadlani",,
497,Baby Ko Bass Pasand Hai," Vishal-Shekhar, Badshah, Shalmali",,
498,Nashe Si Chadh Gayi, Arijit Singh | Vishal and Shekhar,,
499,Tujhko Mirchi Lagi Toh Main Kya Karoon," Kumar Sanu, Alka Yagnik",,
500,Tilasmi Bahein (Legend Mix), Usha Uthup,,
501,Aila Re Aila, Daler Mehandi | Kalpana Patowary,,
502,Jumme Ki Raat,Mika Singh | Himesh Reshammiya,,
503,Swag Se Swagat,"Vishal - Shekhar, Neha B, Irshad",,
504,Kaun Hain Voh,MM Kreem | Manoj M,,
505,Bhangra Ta Sajda, Neha Kakkar,,
506,Azadi," Barnali Chattopadhyay, Archana Gore, Pragati Joshi,",,
507,Tukur Tukur," Arijit Singh, Kanika Kapoor, Neha kakkar",,
508,Photocopy Jai Ho," Himesh Reshammiya, Keerthi Sagathia",,
509,Maine Tujhko Dekha," NEERAJ SHRIDHAR, SUKRITI KAKAR",,
510,The Wakhra Song," Navv Inder, Lisa Mishra & Raja Kumari",,
511,Mera Yaar, Javed Bashir,,
512,Disco Disco, Benny Dayal & Shirley Setia,,
513,Husnn Hai Suhaana New, Benny Dayal & Shirley Setia,,
514,Dhadhang Dhang,Shreya Ghoshal|Sajid Wajid,,
515,Shake Karaan, Kanika Kapoor,,
516,Nachi Nachi," NEETI MOHAN, DHVANI BHANUSHALI, MILLIND GABA",,
517,Saiyaan Superstar, Tulsi Kumar ,,
518,Mourya Re, Shankar Mahadevan,,
519,GOA BEACH, Tony Kakkar  & Neha Kakkar,,
520,Koka,Badshah,,
521,Savaria,Neeti Mohan ,,
522,Panghat,"  Asees Kaur, Divya Kumar , Sachin- Jigar",,
523,Jab Tum Chaho," DARSHAN RAVAL, PALAK MUCHHAL ",,
524,Gajanana,Sukhwinder Singh,,
525,Choodiyan,"  Dev Negi, Asees Kaur",,
526,Mubarakan,,,
527,Odhani," Neha Kakar ,Darshan Raval",,
528,Des Rangila, Mahalaxmi Iyer,,
529,Suno Ganpati Bappa Morya, Amit Mishra ,,
530,Deva Shree Ganesha,Ajay Gogavale,,
531,Babuji Zara Dheere Chalo, Sukhwinder Singh and Sonu Kakkar,,
532,MERI DUNIYA TU HI RE," SONU NIGAM,SHAAN",,
533,Teri Bhabhi,  Javed-Mohsin,,
534,Aashiq Surrender Hua," Amaal Mallik,Shreya Ghoshal",,
535,Dus Bahane 2.0,Shaan & Tulsi Kumar,,
536,MASHOOKA," Dev Negi, Asees Kaur",,
537,Saajanji Ghar Aaye," Kumar Sanu, Alka Yagnik and Kavita Krishnamurthy",,
538,Kaun Nachdi,Guru Randhawa | Neeti Mohan,,
539,MummyKassam,Ikka & Monali Thakur,,
540, Nai Jaana," Tulsi Kumar, Sachet Tandon",,
541,Aashiq Banaya Aapne," Himesh Reshammiya, Neha Kakkar",,
542,India Waale," NEETI MOHAN, VISHAL DADLANI, K.K., SHANKAR MAHADEVAN",,
543,Ankhiyon Se Goli Mare,"  Mika Singh, Tulsi Kumar",,
544,Garmi," Badshah, Neha K",,
545,Nikamma," Dev Negi, Payal Dev, Deane Sequeira",,
546,Channe Ke Khet Mein, Poornima,,
547,Jaikal Mahakal, Amit Trivedi & Suhas Sawant,,
548, Ghoonghat Mein Chand Hoga," Kumar Sanu, Kavita Krishnamurthy",,
549, LOL," Payal Dev , Dev Negi",,
550,Mehendi, Dhvani Bhanushali,,
551,BamBholle, Viruss,,
552, Mera Wala Dance, Nakash Aziz-Neha Kakkar,,
553,Tumhi Ho Bandhu, Pritam,,
554,Dhating Naach, Nakash Aziz & Neha Kakkar,,
555,Sanedo," Mika,Nikhita, Benny",,
556, World Dance Medley," NEETI MOHAN, VISHAL DADLANI, SUKHWINDER SINGH, K.K., SHANKAR MAHADEVAN",,
557, Vande Mataram," Daler Mehndi, Tanishka Sanghvi & Divya Kumar",,
558,Bhare Bazaar, Vishal Dadlani; Payal Dev; Badshah; B Praak,,
559, GOLMAAL Title Track, Brijesh Shandilya & Aditi Singh Sharma ,,
560,Maston Ka Jhund,  Javed Bashir,,
561, Deedar De, Vishal & Shekhar,,
562,Mere Angne Mein, Neha Kakkar & Raja Hasan,,
563,Chor Bazari,Pritam,,
564,Hawa Hawai 2.0," Kavita Krishnamurthy, Shashaa Tirupati",,
565,Bansuri,"Asees K,IP Singh,Dev N",,
566,Dhoom Machale, Sunidhi Chauhan,,
567,Jatt Ludhiyane Da,  Vishal Dadlani & Payal Dev ,,
568, COCA COLA, Tony Kakkar Neha Kakkar,,
569,Jhootha Pyar," Keval Walnaj, Sonali Sonawane",,
570,Dhoom Again," Vishal Dadlani, Dominique Cerejo",,
571,Mai Marjawangi, Sunidhi Chauhan & Danish Sabri,,
572,BHANKAS," Bappi Lahiri, Dev Negi & Jonita Gandhi",,
573,Boom Padi,Shreya Ghoshal,,
574,Shy Mora Saiyaan, Monali Thakur & Piyush Mehroliyaa,,
575,Dance Basanti, Vishal Dadlani & Anushka Manchanda ,,
576,Aaj Raat Ka Scene Banale, Badshah & Shraddha Pandit,,
577,The Bhoot," Mika Singh, Farhad Samji",,
578,Zaalima Coca Cola, Shreya Ghoshal,,
579, Nagin, Anmol Malik,,
580, Rammo Rammo," Udit Narayan, Neeti Mohan, Palak Muchhal",,
581,Bachpan Ka Pyaar," Sahdev Dirdo, Badshah, Aastha Gill, Rico",,
582,Gold Tamba, Nakash Aziz,,
583,CHAMMO," Sukhwinder Singh, Shreya Ghoshal, Shadab Faridi ",,
584, Maiyya Yashoda, Alka Yagnik,,
585,Shankara Re Shankara,Mehul Vyas,,
586,Alcoholia," Snigdhajit,Ananya",,
587,Jee Ni Karda,"  Jass Manak, Manak -E , Nikhita Gandhi",,
588,Ghani Bawri, Jyoti Nooran,,
589,Shaitan Ka Saala,Vishal Dadlani,,
590,Chhote Chhote Bhaiyon Ke Bade Bhaiyya, Udit Narayan | Kavita Krishnamurthy and Kumar Sanu,,
591,Ji Huzoor, Aditya Narayan,,
592,Jazba, Shilpa Rao,,
593,Jiya Re, Neeti Mohan ,,
594,Bebe Bapu, Harsh Likhari,,
595,Papa Meri Jaan, Sonu Nigam,,
596,Saari Duniya Jalaa Denge, B Praak,,
597,Kya Loge Tum, B Praak,,
598,Water Packet," Santhosh Narayanan, Shweta Mohan",,
599, Golden Sparrow," Sublahshini, G V Prakash Kumar, Dhanush,Arivu",,
600,Nallanchu Thellacheera," Sreerama Chandra, Sameera Bharadwaj",,
601,Jikki, Karthik & Ramya Behara,,
602, Samayama, Anurag Kulkarni & Sithara Krishnakumar ,,
603,Odiyamma,"  Dhruv Vikram,Shruti Haasan,Chinmayi Sripaada",,
604,Idhe Idhe, Hesham Abdul Wahab,,
605,Needhe Needhe, Aavani Malhar,,
606,Chedhu Nijam," GEETHA MADHURI, VINEETH SREENIVASAN",,
607,EVARINI ADAGANU,  Yazin Nizar,,
608,Ninnati Theepi, Sunitha Upadrasta,,
609,Kaanunna Kalyanam," Anurag Kulkarni , Sinduri S",,
610,Kalaavathi,,,
611,Ma Ma Mahesha, Sri Krishna & Jonita Gandhi,,
612,Ra Ra Reddy I’m Ready, Lipsika ,,
613,Blockbuster, SS Thaman,,
614,Private Party,"  MC Vickey,M.M. Manasi",,
615,SEETI MAAR, Jaspreet Jasz & Rita,,
616, Shape of You,Ed Sheeran,,
617,Be Free,Vidya Vox,,
618,Kuttanadan Punjayile, Vidya Vox,,
619,See You Again,Wiz Khalifa,,
620,Uptown Funk,Mark Ronson,,
621,Sorry,Justin Bieber,,
622,Thinking Out Loud, Ed Sheeran,,
623,Counting Stars,OneRepublic,,
624,Lean On,Major Lazer & DJ Snake,,
625,Faded,Alan Walker,,
626,Girls Like You,Maroon 5,,
627,Let Her Go,Passenger,,
628,Hello,Adele,,
629,Perfect,Ed Sheeran,,
630,We Don't Talk Anymore,Charlie Puth,,
631,Rockabye,Clean Bandit,,
632,This Is What You Came For,"Calvin Harris, Rihanna",,
633,Chandelier,Sia,,
634,New Rules,Dua Lipa,,
635,Love Me Like You Do,Ellie Goulding,,
636,Stressed Out,twenty one pilots,,
637,Love The Way You Lie,Eminem,,
638,Wake Me Up,Avicii,,
639,Treat You Better,Shawn Mendes,,
640,The Lazy Song,Bruno Mars,,
641,Rude, magic,,
642,Something Just Like This,The Chainsmokers & Coldplay,,
643,All of Me,John Legend,,
644,Havana,Camila Cabello,,
645,That’s What I Like,Bruno Mars,,
646,Rolling in the Deep,Adele,,
647,A Thousand Years,Christina Perri,,
648,Believer,Imagine Dragons,,
649,Love Yourself,Justin Bieber,,
650,Diamonds,Rihanna,,
651,Someone Like You,Adele,,
652,Bang Bang,Jessie J,,
653,The Hills,The Weeknd,,
654,Cheap Thrills,Sia,,
655,Just The Way You Are,Bruno Mars,,
656,Somebody That I Used To Know,Gotye,,
657,Numb,Linkin Park,,
658,Burn,Ellie Goulding,,
659,Dusk Till Dawn,ZAYN,,
660,Summer,Calvin Harris,,
661,Titanium,David Guetta,,
662,Paradise,Coldplay,,
663,Call Me Maybe,,Sahi naam whatsapp  karde,singer name is wrong change it 
664,I'm Not The Only One,Sam Smith,,
665,Stitches,Shawn Mendes,,
666,Firework,Katy Perry,,
667,CAN'T STOP THE FEELING!, Justin Timberlake,,
668,Timber,"Pitbull, Ke$ha",,
669,Just Give Me A Reason,P!nk,,
670,Radioactive,Imagine Dragons,,
671,What Makes You Beautiful,One Direction,,
672,I'm an Albatraoz,"AronChupa, Little Sis Nora",,
673,Attention,Charlie Puth,,
674,Say You Won't Let Go,James Arthur,,
675,Human,Rag'n'Bone Man,,
676,La La La,Shakira,,
677,Smells Like Teen Spirit,Nirvana,,
678,Elastic Heart,Sia,,
679,Can't Feel My Face,The Weeknd,,
680,Rap God,Eminem,,
681,Wrecking Ball,Miley Cyrus,,
682, Break Free,Ariana Grande,,
683,Stay With Me, Sam Smith,,
684,Zombie,The Cranberries,,
685,Do I Wanna Know?,Arctic Monkeys,,
686,Rain Over Me,Pitbull,,
687,Ride,twenty one pilots,,
688,7 Years,Lukas Graham,,
689,Photograph,Ed Sheeran,,
690,Cold Water,Major Lazer,,
691,Grenade,Bruno Mars,,
692,We Found Love,Rihanna,,
693,Lose Yourself,Eminem,,
694,We Can't Stop,Miley Cyrus,,
695,Let Me Love You ft. Justin Bieber,DJ Snake,,
696,One More Night,Maroon 5,,
697,Drag Me Down,One Direction,,
698,The Scientist,Coldplay,,
699,Story of My Life,One Direction,,
700,Royals (US Version),Lorde,,
701,Demons,Imagine Dragons,,
702,We Are Young,Janelle Monáe,,
703,Psycho,Post Malone,,
704,Only Girl,Rihanna,,
705,Love Me Again,John Newman,,
706,Give Me Everything,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer",,
707,We Are One,pitbull,,
708,Waiting For Love,Avicii,,
709,Firestone,Kygo,,
710,Blame,Calvin Harris,,
711,Don't You Worry Child,Swedish House Mafia ft. John Martin,,
712,The Heart Wants What It Wants,Selena Gomez,,
713,Moves Like Jagger,Maroon 5,,
714,The Reason,Hoobastank,,
715,Animals,Maroon 5,,
716,Mirrors, Justin Timberlake,,
717,Send My Love,Adele,,
718,One Thing,One Direction,,
719,Viva La Vida,Coldplay,,
720,Locked Out Of Heaven,Bruno Mars,,
721,It Will Rain,Bruno Mars,,
722,We Are Never Ever Getting Back Together,Taylor Swift,,
723,A Sky Full Of Stars,Coldplay,,
724,I Don’t Wanna Live Forever,"ZAYN, Taylor Swift",,
725,Here Without You,3 Doors Down,,
726,Payphone,Maroon 5,,
727,Stolen Dance,Milky Chance,,
728,I'm Yours,Jason Mraz,,
729,Set Fire To The Rain,Adele,,
730,Pompeii,Bastille,,
731,Eastside,"benny blanco, Halsey & Khalid",,
732,Unconditionally,Katy Perry,,
733,Cups,Anna Kendrick,,
734,Outside,Calvin Harris,,
735,Sugar,Robin Schulz,,
736,Say Something,"A Great Big World, Christina Aguilera",,
737,Safe And Sound,Capital Cities,,
738,Galway Girl,Ed Sheeran,,
739,Hideaway,Kiesza,,
740,Old Town Road,Lil Nas X,,
741,Just A Dream,Nelly,,
742,More Than You Know,Axwell /\ Ingrosso,,
743,It's Time,Imagine Dragons,,
744,Stereo Hearts,Adam Levine,,
745,Take Me To Church,Hozier,,
746,Am I Wrong,Nico & Vinz,,
747,CASTLE OF GLASS,Linkin Park,,
748,Hall of Fame,The Script,,
749,Maps,Maroon 5,,
750,Good Feeling,Flo Rida,,
751, Perfect,One Direction,,
752, Thunderclouds,LSD,,
753,When You're Gone,Avril Lavigne,,
754,Castle On The Hill,Ed Sheeran,,
755,Sun Goes Down,Robin Schulz,,
756,Riptide,Vance Joy,,
757,Wish You Were Here,Avril Lavigne,,
758,Boom Clap,Charli XCX,,
759,History,One Direction,,
760,Fireflies,Owl City,,
761,Good Time,Owl City & Carly Rae Jepsen,,
762,Without You,David Guetta,,
763,Lost On You,LP,,
764,I See Fire,Ed Sheeran,,
765,Club Can't Handle Me,Flo Rida,,
766,Nothin' On You,B.o.B,,
767,The A Team,Ed Sheeran,,
768,Way Down We Go,KALEO,,
769,DJ Got Us Fallin' In Love,Usher,,
770,BURN IT DOWN,Linkin Park,,
771,On Top Of The World,Imagine Dragons,,
772,I Hate Everything About You,Three Days Grace,,
773,She Looks So Perfect,5 Seconds of Summer,,
774,All The Stars,"Kendrick Lamar, SZA",,
775,Post Malone,Circles,,
776,"Hey, Soul Sister",Train,,
777,Godzilla,Eminem,,
778,Gold,Chet Faker,,
779,Blinding Lights,The Weeknd,,
780,Heroes,Alesso,,
781,Feels Like Summer,Childish Gambino,,
782,Here's to Never Growing Up,Avril Lavigne,,
783,It Ain't Me,"Kygo, Selena Gomez",,
784,Don't,Ed Sheeran,,
785,The Night We Met, Lord Huron,,
786,Drop the Game,Flume & Chet Faker,,
787,I Bet My Life,Imagine Dragons,,
788,Lights,Ellie Goulding,,
789,Heal The World,Michael Jackson,,
790,Amnesia,5 Seconds of Summer,,
791,Red Lights,Tiësto,,
792,All Time Low,Jon Bellion,,
793,Sleep On The Floor,The Lumineers,,
794,Talking Body,Tove Lo,,
795,All The Right Moves,OneRepublic,,
796,Sweatpants,Childish Gambino,,
797,"Me, Myself & I",G-Eazy X Bebe Rexha,,
798,Happier,Ed Sheeran,,song ki jagah gaan aur gaane ki jagah song ho gaya
799,Back To You,Selena Gomez,,
800,Save The World,Swedish House Mafia,,
801,2:00 am,Coke Studio Pakistan | Star Shah | Zeeshan Ali,,
802,Chal Chaliye,Coke Studio Pakistan | Sajjad Ali | Farheen Raza Jaffry,,
803,Beparwah,Coke Studio Pakistan | Momina Mustehsan,,
804,Sajan Das Na,Coke Studio Pakistan | Atif Aslam | Momina Mustehsan,,
805,Phir Milenge,Coke Studio Pakistan | Faisal Kapadia | Young Stunners,,
806,Pass Nahi Toh Fail Nahi, Sunidhi Chauhan,,
807,Lost Stars,Adam Levine,,song ki jagah gaan aur gaane ki jagah song ho gaya			
808,Makeba,jain,,
809,Shake It Out,Florence + The Machine,,
810,Ten Feet Tall,Afrojack,,
811,If I Lose Myself,OneRepublic,,
812,Hey There Delilah,Plain White T's,,
813,Before You Go,Lewis Capaldi,,
814,Afterhours,TroyBoi,,
815,Shotgun,George Ezra,,
816,Highway to Hell,AC/DC,,
817,The Show,Lenka,,
818,Burning In The Skies,Linkin Park,,
819,The Spark,"Afrojack, Spree Wilson",,
820,SEE YOU AGAIN,Kali Uchis,,
821,Underdog,Alicia Keys,,
822,No Good,KALEO,,
823,Get Lucky,Daft Punk,,
824,Stay Alive,José González,,
825,Dirty Paws,Of Monsters and Men,,
826,Kodaline,Talk,,
827,cold/mess, Prateek Kuhad,,
828,Intro (The xx Cover),City of the Sun,,
829,NEXT YEAR,TWO DOOR CINEMA CLUB,,
830,Random Access Memories,Daft Punk,,
831,As if it's your last,Blackpink,,
832,Ddu-du ddu-du,Blackpink,,
833,How you like that,Blackpink,,
834,Kill this love,Blackpink,,
835,Lovesick girls,Blackpink,,
836,Pink venom,Blackpink,,
837,Shut down,Blackpink,,
838,The girls,Blackpink,,
839,Typa girl,Blackpink,,
840,Icecream,Blackpink,,
841,Boombayah,Blackpink,,
842,Stay,Blackpink,,
843,Whistle,Blackpink,,
844,Playing with fire,Blackpink,,
845,Gangnam Style,Psy,,
846,Dynamite,BTS,,
847,Good Day,IU,,
848,Bad Boy,EXO,,
849,TT,Red Velvet,,
850,Bang Bang Bang,TWICE,,
851,Yanghwa BRDG,BIGBANG,,
852,Ring Ding Dong,Zion.T,,
853,Very Nice,SHINee,,
854,"Sorry, Sorry",Super Junior,,
855,Crooked,G-Dragon,,
856,I,Taeyeon,,
857,HIP,MAMAMOO,,
858,Cherry Bomb,NCT 127,,
859, God's Menu,Stray Kids,,
860,Love Scenario, iKON,,
861, Gotta Go,Chungha,,
862,Just Right, GOT7,,
863,LUV, Apink,,
864,Gashina, Sunmi,,
865,Shoot Out, MONSTA X,,
866, Nonstop,Oh My Girl,,
867, Energetic,Wanna One,,
868, Like a Cat,AOA,,
869, Oh NaNa,KARD,,
870, Really Really,WINNER,,
871, Bubble Pop,HyunA,,
872, Butterfly,LOONA,,
873, Wave,ATEEZ,,
874, DALLA DALLA,ITZY,,
875, Beautiful,Crush,,
876, Missing You,BTOB,,
877, I Am The Best,2NE1,,
878, Chase Me,Dreamcatcher,,
879,Shine,pentagon ,,
880,Chained Up ,VIXX,,
881,Don't Know You, Heize,,
882,"Spring"" (feat. Sandara Park)", Park Bom,,
883,Electric Shock, f(x),,
884,Ah-Choo,Lovelyz,,
885,Touch My Body,SISTAR,,
886,The Chaser,INFINITE,,
887,CROWN,TXT,,
888,Breathe,Lee Hi,,
889,Hobgoblin,CLC,,
890,Maria,Hwa Sa,,
891,Abracadabra,Brown Eyed Girls,,
892,Crazy Sexy Cool,ASTRO,,
893,Good Guy,SF9,,
894,Love Paint,NU'EST,,
895,Please Don't...,K.Will,,
896,Rough,GFriend,,
897,200%,Akdong Musician (AKMU),,
898,Fiesta,IZ*ONE,,
899,Couple,Sechs Kies,,
900,LATATA,(G)I-DLE,,
901,Fly,Jessica,,
902,Boss,NCT U,,
903,What's Happening?,B1A4,,
904,Dolls,Nine Muses,,
905,NUNU NANA,Jessi,,
906,Love Bomb,Fromis_9,,
907,Roly Poly,T-ara,,
908,No Air,The Boyz,,
909,Up & Down,EXID,,
910,HER,Block B,,
911,You Were Beautiful,DAY6,,
912,A,Rainbow,,
913,Movie Star,CIX,,
914,Flower Way,Sejeong,,
915,Crush,Weki Meki,,
916,Daisy,PENTAGON,,
917,A Girl Like Me,Gugudan,,
918,Jopping,SuperM,,
919,LALALILALA,APRIL,,
920,Any Song,ZICO,,
921,Honestly,Eric Nam,,
922,Valkyrie,ONEUS,,
923,BBoom BBoom,Momoland,,
924,DUN DUN,EVERGLOW,,
925,Bim Bam Bum,Rocket Punch,,
926,BOY,TREASURE,,
927,Secret,WJSN,,
928,Galaxy,BOL4,,
929,Move,Taemin,,
930,Sunset,KNK,,
931,Feeling,Jeong Sewoon,,
932,Girls,Nature,,
933,Q&A,Cherry Bullet,,
934,Scream,DREAMCATCHER,,
935,Rocking,Teen Top,,
936,SO BAD,STAYC,,
937,O Sole Mio,SF9,,
938,Dally,Hyolyn,,
939,Too Much,Loco,,
940,You Calling My Name,Minzy,,
941,NINANO,GOT7,,
942,BAAM,MOMOLAND,,
943,Your Shampoo Scent in the Flowers,Jang Beom June,,
944,Despacito,Luis Fonsi feat. Daddy Yankee,,
945,La Bicicleta,Shakira & Carlos Vives,,
946,Bailando,Enrique Iglesias feat. Descemer Bueno & Gente de Zona,,
947,Vivir Mi Vida,Marc Anthony,,
948,El Perdón,Nicky Jam & Enrique Iglesias,,
949,La Gozadera,Gente de Zona feat. Marc Anthony,,
950,Héroe,Enrique Iglesias,,
951,Amor Prohibido,Selena Quintanilla,,
952,Felices los 4,Maluma,,
953,Suerte,Shakira,,
954,Duele El Corazón,Enrique Iglesias feat. Wisin,,
955,Bésame Mucho,Luis Miguel,,
956,Vente Pa' Ca,Ricky Martin feat. Maluma,,
957,Propuesta Indecente,Romeo Santos,,
958,Corazón,Maluma feat. Nego do Borel,,
959,Robarte un Beso,Carlos Vives & Sebastián Yatra,,
960,Yo Perreo Sola,Bad Bunny,,
961,Tusa,Karol G feat. Nicki Minaj,,
962,Dákiti,Bad Bunny & Jhay Cortez,,
963,A Puro Dolor,Son by Four,,
964,Te Amo,Makano,,
965,Mi Gente,J Balvin & Willy William,,
966,Llamado de Emergencia,Daddy Yankee,,
967,Borró Cassette,Maluma,,
968,Me Voy,Julieta Venegas,,
969,Limón y Sal,Julieta Venegas,,
970,Vuelve,Ricky Martin,,
971,Me Enamoré,Shakira,,
972,Échame La Culpa,luis fonsi ,,
973,Devuélveme el Corazón,Sebastián Yatra,,
974,La Cumparsita,Carlos Gardel,,
975,El Rey,Vicente Fernández,,
976,Te Boté,"Nio García, Casper Mágico & Bad Bunny",,
977,Cuando Calienta el Sol,Luis Miguel,,
978,Noche de Brujas,Shakira,,
979,Bonita,Juanes feat. Sebastián Yatra,,
980,Te Amo,Piso 21,,
981,Fuego,Bomba Estéreo,,
982,La Mordidita,Ricky Martin feat. Yotuel,,
983,Mayores,Becky G feat. Bad Bunny,,
984,Eres Tú,Mocedades,,
985,Rayando el Sol,Maná,,
986,De Música Ligera,Soda Stereo,,
987,Amiga Mía,Alejandro Sanz,,
988,La Camisa Negra,Juanes,,
989,Nada Fue Un Error,Coti feat. Julieta Venegas & Paulina Rubio,,
990,Color Esperanza,Diego Torres,,
991,Corazón Partío,Alejandro Sanz,,
992,Christian Nodal*,Shakira,,
993,Christian Nodal*,Christian Nodal,,
994,Kazino,Bibi,,
995,Miss Me or Diss Me,Super Junior D&E,,
996,What Are You Up To,HYO,,
997,Destiny,Lovelyz,,
998,"Dessert"" (feat. Loopy, Soyeon)",Kang Daniel,,
999,Danger,MC Mong,,
1000,Bomb,AleXa,,
1001,Good Bye,Wheein,,
1002,Howling,VICTON,,
1003,Fantastic Baby,Big Bang,,
1004,"Untitled, 2014",G-Dragon,,
1005,Lucifer,SHINee,,
1006,Criminal,Taemin,,
1007,I'm Not Cool,HyunA,,
1008,Alligator,MONSTA X,,
1009,Birthday,Somi,,
1010,Breathe,AB6IX,,
1011,Hands Up,Cherry Bullet,,
1012,Blue Flame,ASTRO,,
1013,Burn It,Golden Child,,
1014,WANNABE,ITZY,,
1015,Numb,CIX,,
1016,Red Moon,Kim Wooseok,,
1017,What Type of X,Jessi,,
1018,Inception,ATEEZ,,
1019,Q,ONEWE,,
1020,Boom,NCT Dream,,
1021,Spark,TAEYEON,,
1022,Every Moment of You,Sung Si Kyung,,
1023,Kick It,NCT 127,,
1024,Tear Drop,SF9,,
1025,Twilight,WEi,,
1026,Sorry,The Rose,,
1027,We Must Love,ONF,,
1028,Start Over,Gaho,,
1029,Senorita,VAV,,
1030,Instinctively,Kang Seung Yoon,,
1031,Don't Faint,Highlight,,
1032,Ruby,Woozi,,
1033,Home;Run,Seventeen,,
1034,Mamacita,Super Junior,,
1035,Zombie,DAY6,,
1036,Journey to Atlantis,LABOUM,,
1037,Shoot the Moon,BDC,,
1038,Oh! my mistake,April,,
1039,Be Mine,Infinite,,
1040,My Turn,Cravity,,
1041,Jungle,CIX,,
1042,All or Nothing,WEi,,
1043,Spin Off,Up10tion,,
1044,The Stealer,The Boyz,,
1045,Paranoia,Kang Daniel,,
1046,Feel Like,Woodz,,
1047,5STAR,CL,,
1048,"Switch to Me"" (feat. JYP)",Rain,,
1049,Knock,ASTRO,,
1050,Smiley,Jang Won Young,,
1051,What I Said,Victon,,
1052,Rollin,Brave Girls,,
1053,One (Lucid Dream),Golden Child,,
1054,Not the End,Highlight,,
1055,Ugly Dance,ONF,,
1056,Don't Call Me,SHINee,,
1057,Left & Right,Seventeen,,
1058,Spring Day,BTS,,
1059,Haru Haru,BIGBANG,,
1060,Nillili Mambo,Block b,,
1061,Lullaby,GOT7,,
1062,Dr. BeBe,Pentagon,,
1063,Bling Bling,iKON,,
1064,Warrior,B.A.P,,
1065,Island,WINNER,,
1066,Superhuman,NCT 127,,
1067,My House,2:00 pm,,
1068,View,SHINee,,
1069,Tempo,EXO,,
